source_id,source_family,tool_or_site,source_type,title,url,authority_tier,term_hit,practice_signal,first_round_status,first_round_reason,second_round_status,manual_notes
S001,standard,AGENTS.md,official_site,AGENTS.md official website,https://agents.md/,S1,AGENTS.md,GOOD_COMMANDS;GOOD_SCOPE;GOOD_CONCISION;PORTABILITY,PASS,Official standard site with concrete guidance for agent instruction files,,
S002,standard,AGENTS.md,official_repo,agentsmd/agents.md repository,https://github.com/agentsmd/agents.md,S1,AGENTS.md,PORTABILITY;GOOD_STRUCTURE,PASS,Official repository for the AGENTS.md specification and ecosystem materials,,
S003,standard,OpenAI,official_announcement,Introducing the Agentic AI Foundation,https://openai.com/index/agentic-ai-foundation/,S2,AGENTS.md,PORTABILITY,MAYBE,Ecosystem and governance evidence but limited concrete practice guidance,,
S004,standard,Linux Foundation,official_announcement,Linux Foundation Announces the Agentic AI Foundation,https://www.linuxfoundation.org/press/linux-foundation-announces-the-formation-of-the-agentic-ai-foundation,S2,AGENTS.md,PORTABILITY,MAYBE,Confirms AGENTS.md as AAIF project and supporter ecosystem but not a practice document,,
S005,official_docs,OpenAI Codex,docs,Custom instructions with AGENTS.md,https://developers.openai.com/codex/guides/agents-md,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_PRECEDENCE;GOOD_CONCISION,PASS,Primary Codex source for AGENTS.md discovery and precedence semantics,,
S006,official_docs,OpenAI Codex,docs,Codex best practices,https://developers.openai.com/codex/learn/best-practices,S1,AGENTS.md,GOOD_COMMANDS;GOOD_STRUCTURE;GOOD_SECURITY;GOOD_CONCISION,PASS,Official best-practice guidance for commands; conventions; verification; constraints,,
S007,official_docs,OpenAI Codex,docs,Advanced configuration,https://developers.openai.com/codex/config-advanced,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE,PASS,Documents project instruction discovery and related configuration options,,
S008,official_docs,OpenAI Codex,docs,Configuration reference,https://developers.openai.com/codex/config-reference,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_CONCISION,PASS,Documents project_doc_max_bytes and fallback filenames for project docs,,
S009,official_docs,OpenAI Codex,docs,Sample configuration,https://developers.openai.com/codex/config-sample,S1,AGENTS.md,LOADING_SEMANTICS;GOOD_CONCISION,PASS,Shows default AGENTS.md context byte threshold and related config,,
S010,official_docs,OpenAI Codex,docs,Codex customization,https://developers.openai.com/codex/concepts/customization,S1,AGENTS.md,GOOD_STRUCTURE;GOOD_SECURITY;GOOD_COMMANDS,PASS,Explains how repo customization and enforceable mechanisms complement instructions,,
S011,official_docs,Anthropic Claude Code,docs,Claude Code memory,https://docs.anthropic.com/en/docs/claude-code/memory,S1,CLAUDE.md;AGENTS.md,LOADING_SEMANTICS;GOOD_SCOPE;GOOD_CONCISION;GOOD_STRUCTURE,PASS,Primary Claude source for CLAUDE.md memory; imports; concise guidance; relationship to AGENTS.md,,
